Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon EC2,0,565.95,6791.4,USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t2.large)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,49.23,590.76,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,6192.956,74315.47,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (10 TB)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,912.5,10950,USD,Number of Site-to-Site VPN Connections (25)
My Estimate,US East (N. Virginia),S3 Standard,0,471.05,5652.6,USD,S3 Standard storage (20 TB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
,,,,,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
